compra,dataAssinatura,dataFimVigencia,dataInicioVigencia,dataPublicacaoDOU,fornecedor,fundamentoLegal,id,modalidadeCompra,numero,numeroProcesso,objeto,situacaoContrato,unidadeGestora,unidadeGestoraCompras,valorFinalCompra,valorInicialCompra
"{'numero': '000102009', 'objeto': 'Objeto: Pregão Eletrônico -  Contratação de empresa, em regime de empreitada por preço unitário, para a prestação de serviços de telefonia fixa comutada (STFC) na modalidade local e longa distância, com vista as necessidades de telecomunicações da SFA/SC.', 'numeroProcesso': '21050001686200987', 'contatoResponsavel': 'FRANCISCO ALEXANDRO POWELL VANDE CASTEEL'}",2009-09-18,2009-12-31,2009-09-21,2009-09-21,"{'id': 319038, 'cpfFormatado': '', 'cnpjFormatado': '02.558.157/0001-62', 'numeroInscricaoSocial': '', 'nome': 'TELEFONICA BRASIL S.A.', 'razaoSocialReceita': 'TELEFONICA BRASIL S.A.', 'nomeFantasiaReceita': '', 'tipo': 'Entidades Empresariais Privadas'}",Fundamento Legal: Lei 8666/93,671975840,Pregão,112009,Sem informação,Objeto: Prestação de serviços de telefonia DDD,Publicado,"{'codigo': '130072', 'nome': 'SUPERINT.DE AGRICULTURA E PECUARIA - SFA/SC', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '22000', 'cnpj': '00396895000125', 'sigla': 'MAPA', 'nome': 'Ministério da Agricultura e Pecuária - Unidades com vínculo direto'}, 'orgaoMaximo': {'codigo': '22000', 'sigla': 'MAPA', 'nome': 'Ministério da Agricultura e Pecuária'}}","{'codigo': '130072', 'nome': 'SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '22000', 'cnpj': '', 'sigla': '', 'nome': 'MINISTERIO DA AGRICULTURA E PECUARIA - MAPA'}, 'orgaoMaximo': {'codigo': '20000', 'sigla': '', 'nome': 'PRESIDENCIA DA REPUBLICA - PRES'}}",205000.0,3000.0
"{'numero': '000022011', 'objeto': 'Objeto: Pregão Eletrônico -  Pregão Eletrônico para contratação de serviço continuado de conexão a internet(SCI)para interligação das loca   lidades de interesse do COMAER.', 'numeroProcesso': '67617012649201086', 'contatoResponsavel': 'CESAR AUGUSTO BORGES TUNA'}",2011-05-02,2012-05-02,2011-05-02,2011-05-09,"{'id': 319038, 'cpfFormatado': '', 'cnpjFormatado': '02.558.157/0001-62', 'numeroInscricaoSocial': '', 'nome': 'TELEFONICA BRASIL S.A.', 'razaoSocialReceita': 'TELEFONICA BRASIL S.A.', 'nomeFantasiaReceita': '', 'tipo': 'Entidades Empresariais Privadas'}",Fundamento Legal: Lei 8.666/93 e demais legislações correlatas.,671989856,Pregão,52011,Sem informação,Objeto: Serviço continuado de conexão à INTERNET (SCI) para interligação das localidades de interesse do COMAER (SRPV-SP e unidades subordinadas São Paulo e Interior).,Retificação - Publicado,"{'codigo': '120069', 'nome': 'CENTRO REGIONAL DE CONTROLE DO ESPACO AEREO', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '52111', 'cnpj': '00394429000100', 'sigla': 'CMDO AERONÁUTICA', 'nome': 'Comando da Aeronáutica'}, 'orgaoMaximo': {'codigo': '52000', 'sigla': 'DEFESA', 'nome': 'Ministério da Defesa'}}","{'codigo': '120069', 'nome': 'SERVICO REGIONAL DE PROTECAO AO VOO SAO PAULO', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '52111', 'cnpj': '', 'sigla': '', 'nome': 'COMANDO DA AERONAUTICA'}, 'orgaoMaximo': {'codigo': '20101', 'sigla': '', 'nome': 'Sem informação'}}",601996.0,247336.0
"{'numero': '-3', 'objeto': '', 'numeroProcesso': '-3', 'contatoResponsavel': ''}",2015-11-24,2020-11-23,2015-11-24,2016-05-31,"{'id': 319038, 'cpfFormatado': '', 'cnpjFormatado': '02.558.157/0001-62', 'numeroInscricaoSocial': '', 'nome': 'TELEFONICA BRASIL S.A.', 'razaoSocialReceita': 'TELEFONICA BRASIL S.A.', 'nomeFantasiaReceita': '', 'tipo': 'Entidades Empresariais Privadas'}",,697499322,Sem Informação,000382015,Sem informação,"Objeto: AQUISIÇAO DE SERVIÇO MÓVEL PESSOAL (SMP), COM FORNECIMENTO DE SIM-CARDS (CHIPS) DEVIDAMENTE HABILITADOS PARA ORIGINAR E RECEBER CHAMADAS, LOCAIS E DE LONGA DISTÂNCIA NACIONAL E INTERNACIONAL, EM TODOS OS ESTADOS DA FEDERAÇÃO, ENVIAR E RECEBER MENSAGENS DE TEXTO (SMS), A ACESSAR A INTERNET CONFORME CONDIÇÕES, QUANTIDADES, EXIGÊNCIAS E ESTIMATIVAS, INCLUSIVE AS ENCAMINHADAS PELOS ÓRGAOS PARTICIPANTES, ESTABELECIDAS NO TERMO DE REFERÊNCIA, INCLUSO NO EDITAL N.º 02/2014.",Não se aplica,"{'codigo': '183023', 'nome': 'INSTITUTO NAC.DE METROLOG. QUALID. E TECNOLOG', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '30203', 'cnpj': '00662270000168', 'sigla': 'INMETRO', 'nome': 'Instituto Nacional de Metrologia, Qualidade e Tecnologia'}, 'orgaoMaximo': {'codigo': '28000', 'sigla': 'MDICS', 'nome': 'Ministério do Desenvolvimento, Indústria, Comércio e Serviços'}}","{'codigo': '183023', 'nome': 'INST.NAC.DE METROLOGIA QUALIDADE E TECNOLOGIA', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '30203', 'cnpj': '', 'sigla': '', 'nome': 'INST.NAC. DE METROLOGIA, NORMAL.E QUAL.IND.'}, 'orgaoMaximo': {'codigo': '20101', 'sigla': '', 'nome': 'Sem informação'}}",194752.16,584651.19
"{'numero': '-3', 'objeto': '', 'numeroProcesso': '-3', 'contatoResponsavel': ''}",2016-04-12,2021-05-19,2016-04-12,2021-05-19,"{'id': 319038, 'cpfFormatado': '', 'cnpjFormatado': '02.558.157/0001-62', 'numeroInscricaoSocial': '', 'nome': 'TELEFONICA BRASIL S.A.', 'razaoSocialReceita': 'TELEFONICA BRASIL S.A.', 'nomeFantasiaReceita': '', 'tipo': 'Entidades Empresariais Privadas'}",,697521466,Sem Informação,000032016,Sem informação,Objeto: SERVIÇOS DE TELEFONIA MÓVEL PESSOAL (SMP)  COM FORNECIMENTO DE APARELHOS EM REGIME DE COMODATO,Não se aplica,"{'codigo': '160030', 'nome': '1ª COMPANHIA DE INFANTARIA', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '52121', 'cnpj': '00394452000103', 'sigla': 'CMDO EXÉRCITO', 'nome': 'Comando do Exército'}, 'orgaoMaximo': {'codigo': '52000', 'sigla': 'DEFESA', 'nome': 'Ministério da Defesa'}}","{'codigo': '160030', 'nome': '1 COMPANHIA DE INFANTARIA', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '52121', 'cnpj': '', 'sigla': '', 'nome': 'COMANDO DO EXERCITO'}, 'orgaoMaximo': {'codigo': '20101', 'sigla': '', 'nome': 'Sem informação'}}",64764.9,64764.9
"{'numero': '-3', 'objeto': '', 'numeroProcesso': '-3', 'contatoResponsavel': ''}",2016-05-12,2021-05-11,2016-05-12,2016-05-13,"{'id': 319038, 'cpfFormatado': '', 'cnpjFormatado': '02.558.157/0001-62', 'numeroInscricaoSocial': '', 'nome': 'TELEFONICA BRASIL S.A.', 'razaoSocialReceita': 'TELEFONICA BRASIL S.A.', 'nomeFantasiaReceita': '', 'tipo': 'Entidades Empresariais Privadas'}",,697524858,Sem Informação,000012016,Sem informação,"Objeto: CONTRATAÇÃO DE SERVIÇO MÓVEL PESSOAL (SMP), COM FORNECIMENTO DE SIM CARD",Não se aplica,"{'codigo': '740002', 'nome': 'COORD-GERAL PROG. DESENV. SUBMAR. NUCLEAR', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '52131', 'cnpj': '00394502000144', 'sigla': 'CMDO MARINHA', 'nome': 'Comando da Marinha'}, 'orgaoMaximo': {'codigo': '52000', 'sigla': 'DEFESA', 'nome': 'Ministério da Defesa'}}","{'codigo': '740002', 'nome': 'COORD.GERAL PROG.DESENVOLV.SUBMARINO NUCLEAR', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '52131', 'cnpj': '', 'sigla': '', 'nome': 'COMANDO DA MARINHA'}, 'orgaoMaximo': {'codigo': '20101', 'sigla': '', 'nome': 'Sem informação'}}",29283.23,23426.58
"{'numero': '-3', 'objeto': '', 'numeroProcesso': '-3', 'contatoResponsavel': ''}",2017-06-29,2022-02-25,2017-06-29,2021-01-26,"{'id': 319038, 'cpfFormatado': '', 'cnpjFormatado': '02.558.157/0001-62', 'numeroInscricaoSocial': '', 'nome': 'TELEFONICA BRASIL S.A.', 'razaoSocialReceita': 'TELEFONICA BRASIL S.A.', 'nomeFantasiaReceita': '', 'tipo': 'Entidades Empresariais Privadas'}",,697572922,Sem Informação,000012017,Sem informação,"Objeto: CONTRATAÇÃO DE SERVIÇO MÓVEL PESSOAL (SMP), NAS MODALIDADES LOCAL, LONGA DISTÂNCIA NACIONAL (LDN), A SEREM EXECUTADOS DE FORMA CONTÍNUA, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA-GERAL DA MARINHA (SGM).",Não se aplica,"{'codigo': '770000', 'nome': 'SECRETARIA-GERAL DA MARINHA', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '52131', 'cnpj': '00394502000144', 'sigla': 'CMDO MARINHA', 'nome': 'Comando da Marinha'}, 'orgaoMaximo': {'codigo': '52000', 'sigla': 'DEFESA', 'nome': 'Ministério da Defesa'}}","{'codigo': '770000', 'nome': 'SECRETARIA-GERAL DA MARINHA', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '52131', 'cnpj': '', 'sigla': '', 'nome': 'COMANDO DA MARINHA'}, 'orgaoMaximo': {'codigo': '20101', 'sigla': '', 'nome': 'Sem informação'}}",28827.81,28827.81
"{'numero': '-3', 'objeto': '', 'numeroProcesso': '-3', 'contatoResponsavel': ''}",2017-10-19,2018-11-02,2017-11-02,2021-03-22,"{'id': 319038, 'cpfFormatado': '', 'cnpjFormatado': '02.558.157/0001-62', 'numeroInscricaoSocial': '', 'nome': 'TELEFONICA BRASIL S.A.', 'razaoSocialReceita': 'TELEFONICA BRASIL S.A.', 'nomeFantasiaReceita': '', 'tipo': 'Entidades Empresariais Privadas'}",,697586810,Sem Informação,000522017,Sem informação,"Objeto: PRESTAÇÃO DE SERVIÇO TELEFÔNICO FIXO COMUTADO - STFC, DE TELEFONES FIXOS PARA FIXOS E DE FIXOS PARA MÓVEIS, NA MODALIDADE LOCAL, NACIONAL E INTERNACIONAL, COM TARIFAÇÃO REDUZIDA EM RELAÇÃO ÀS PRATICADAS NO MERCADO, PARA ATENDER, SEM DESCONTINUIDADES, ÀS LIGAÇÕES ORIGINADAS E RECEBIDAS DA RESIDÊNCIA DE FORTALEZA DA COMPANHIA DE PESQUISAS RECURSOS MINERAIS - CPRM, MEDIANTE A DISPONIBILIZAÇÃO DE ACESSOS FIXOS, FORNECIMENTO DE TRONCO DIGITAL, INCLUINDO TODAS AS INSTALAÇÕES NECESSÁRIAS E MANTIDA A NUMERAÇÃO DE T",Não se aplica,"{'codigo': '495370', 'nome': 'COMPANHIA DE PESQUISA DE RECURSOS MINERAIS', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '29208', 'cnpj': '00091652000189', 'sigla': 'CPRM', 'nome': 'Companhia de Pesquisa de Recursos Minerais'}, 'orgaoMaximo': {'codigo': '32000', 'sigla': 'MME', 'nome': 'Ministério de Minas e Energia'}}","{'codigo': '495370', 'nome': 'COMPANHIA DE PESQUISA DE RECURSOS MINERAIS', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '29208', 'cnpj': '', 'sigla': '', 'nome': 'COMPANHIA DE PESQUISA DE RECURSOS MINERAIS'}, 'orgaoMaximo': {'codigo': '20101', 'sigla': '', 'nome': 'Sem informação'}}",9225.84,9225.84
"{'numero': '-3', 'objeto': '', 'numeroProcesso': '-3', 'contatoResponsavel': ''}",2017-12-11,2023-01-07,2018-01-07,2017-12-28,"{'id': 319038, 'cpfFormatado': '', 'cnpjFormatado': '02.558.157/0001-62', 'numeroInscricaoSocial': '', 'nome': 'TELEFONICA BRASIL S.A.', 'razaoSocialReceita': 'TELEFONICA BRASIL S.A.', 'nomeFantasiaReceita': '', 'tipo': 'Entidades Empresariais Privadas'}",Fundamento Legal: LEI Nº 8.666/93,697601786,Sem Informação,000322017,Sem informação,Objeto: SERVIÇOS DE TELEFONE FIXO COMUTADO.,Não se aplica,"{'codigo': '120060', 'nome': 'ACADEMIA DA FORCA AEREA', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '52111', 'cnpj': '00394429000100', 'sigla': 'CMDO AERONÁUTICA', 'nome': 'Comando da Aeronáutica'}, 'orgaoMaximo': {'codigo': '52000', 'sigla': 'DEFESA', 'nome': 'Ministério da Defesa'}}","{'codigo': '120060', 'nome': 'ACADEMIA DA FORCA AEREA', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '52111', 'cnpj': '', 'sigla': '', 'nome': 'COMANDO DA AERONAUTICA'}, 'orgaoMaximo': {'codigo': '20101', 'sigla': '', 'nome': 'Sem informação'}}",332966.21,320553.46
"{'numero': '000092017', 'objeto': 'Objeto: Contratação de serviços de telefonia móvel, utilizando os 04 (quatro) aparelhos celulares smartphones cedidos em comodato no contrato nº 03/2017, interligados em rede intragrupo.', 'numeroProcesso': '64121005154201751', 'contatoResponsavel': 'ROBERTO WANDERLEY GUARINO JUNIOR'}",2017-06-06,2018-06-05,2017-06-06,2018-03-28,"{'id': 319038, 'cpfFormatado': '', 'cnpjFormatado': '02.558.157/0001-62', 'numeroInscricaoSocial': '', 'nome': 'TELEFONICA BRASIL S.A.', 'razaoSocialReceita': 'TELEFONICA BRASIL S.A.', 'nomeFantasiaReceita': '', 'tipo': 'Entidades Empresariais Privadas'}","Fundamento Legal: Art. 24, Inciso II da Lei nº 8.666 de 21/06/1993.",672180128,Dispensa de Licitação,32017,Sem informação,Objeto: Contratação de serviços de telefonia Móvel.,Publicado,"{'codigo': '160167', 'nome': '53º BATALHAO DE INFANTARIA DE SELVA', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '52121', 'cnpj': '00394452000103', 'sigla': 'CMDO EXÉRCITO', 'nome': 'Comando do Exército'}, 'orgaoMaximo': {'codigo': '52000', 'sigla': 'DEFESA', 'nome': 'Ministério da Defesa'}}","{'codigo': '160167', 'nome': '53 BATALHAO DE INFANTARIA DE SELVA', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '52121', 'cnpj': '', 'sigla': '', 'nome': 'COMANDO DO EXERCITO'}, 'orgaoMaximo': {'codigo': '20101', 'sigla': '', 'nome': 'Sem informação'}}",5352.0,5352.0
"{'numero': '-3', 'objeto': '', 'numeroProcesso': '-3', 'contatoResponsavel': ''}",2018-08-31,2021-02-28,2018-08-31,2018-12-05,"{'id': 319038, 'cpfFormatado': '', 'cnpjFormatado': '02.558.157/0001-62', 'numeroInscricaoSocial': '', 'nome': 'TELEFONICA BRASIL S.A.', 'razaoSocialReceita': 'TELEFONICA BRASIL S.A.', 'nomeFantasiaReceita': '', 'tipo': 'Entidades Empresariais Privadas'}",,697637242,Sem Informação,000232018,Sem informação,"Objeto: FORNECIMENTO DE SOLUÇÃO CORPORATIVA DE CONECTIVIDADE E COMUNICAÇÃO SEM FIO ATRAVÉS DE SERVIÇO COMUM E CONTINUADO DE TELEFONIA MÓVEL CELULAR - SMC OU SERVIÇO MÓVEL PESSOAL - SMP, LOCAL, LONGA DISTÂNCIA NACIONAL E INTERNACIONAL COM HABILITAÇÃO DE LINHAS DE TELEFONIA CELULAR COM TECNOLOGIA GSM, PACOTE DE DADOS, ACESSO À INTERNET, CORREIO ELETRÔNICO, COM CARACTERÍSTICAS DE SERVIÇOS PÓS-PAGOS, COBERTURA NACIONAL E FACILIDADES DE ROAMING NACIONAL E INTERNACIONAL AUTOMÁTICO, COM FORNECIMENTO DE APARELHOS DE CELULA",Não se aplica,"{'codigo': '275075', 'nome': 'VALEC ENGENHARIA, CONSTRUCOES E FERROVIAS S.A', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '29209', 'cnpj': '42150664000187', 'sigla': 'VALEC S.A.', 'nome': 'VALEC Engenharia, Construções e Ferrovias S.A.'}, 'orgaoMaximo': {'codigo': '39000', 'sigla': 'MTR', 'nome': 'Ministério dos Transportes'}}","{'codigo': '275075', 'nome': 'VALEC-ENGENHARIA,CONSTRUCOES E FERROVIAS S/A', 'descricaoPoder': 'EXECUTIVO', 'orgaoVinculado': {'codigoSIAFI': '29209', 'cnpj': '', 'sigla': '', 'nome': 'VALEC-ENGENHARIA, CONSTRUCOES E FERROVIAS S/A'}, 'orgaoMaximo': {'codigo': '20101', 'sigla': '', 'nome': 'Sem informação'}}",2478968.0,2478968.0
