ano,chaveNotaFiscal,cnaeCodigoClasse,cnaeCodigoGrupo,cnaeCodigoSubClasse,cnaeDivisao,cnaeNomeClasse,cnpj,cnpjFornecedor,codigoIBGE,codigoOrgaoDestinatario,codigoOrgaoSuperiorDestinatario,dataEmissao,dataTipoEventoMaisRecente,descricaoBeneficioFiscal,descricaoFundamentoLegal,formaTributacao,id,municipio,municipioFornecedor,nomeFantasia,nomeFornecedor,numero,orgaoDestinatario,orgaoSuperiorDestinatario,razaoSocial,serie,tipoEventoMaisRecente,tipoRenuncia,tributo,uf,valorNotaFiscal,valorRenunciado
2015,,61108,611,6110801,61,Telecomunicações por fio,02558157000162,,3550308,,,,,Fundos de Direitos da Criança e do Adolescente,"Lei nº 8.069, de 1990, art. 260; Lei nº 12.594, de 2012, art. 87.",Dedução na apuração do IRPJ.,,SÃO PAULO,,,,,,,TELEFONICA BRASIL S.A.,,,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,IRPJ,SÃO PAULO,,2236290.03
2015,,61108,611,6110801,61,Telecomunicações por fio,02558157000162,,3550308,,,,,Fundos do Idoso,"Lei nº 12.213, de 2010; Lei nº 12.594, de 2012, art. 88.",Dedução na apuração do IRPJ.,,SÃO PAULO,,,,,,,TELEFONICA BRASIL S.A.,,,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,IRPJ,SÃO PAULO,,2236290.03
2015,,61108,611,6110801,61,Telecomunicações por fio,02558157000162,,3550308,,,,,Incentivo ao Desporto,"Lei nº 11.438, de 2006; Lei nº 13.155, de 2015, art. 43.",Dedução na apuração do IRPJ.,,SÃO PAULO,,,,,,,TELEFONICA BRASIL S.A.,,,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,IRPJ,SÃO PAULO,,2236290.03
2015,,61108,611,6110801,61,Telecomunicações por fio,02558157000162,,3550308,,,,,Pronas/PCD - Programa Nacional de Apoio à Atenção da Saúde da Pessoa com Deficiência,"Lei nº 12.715, de 2012, arts. 1º a 14; Lei nº 12.844, de 2013, art. 28. Lei nº 13.169, de 2015, art. 10.",Dedução na apuração do IRPJ.,,SÃO PAULO,,,,,,,TELEFONICA BRASIL S.A.,,,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,IRPJ,SÃO PAULO,,2236290.03
2015,,61108,611,6110801,61,Telecomunicações por fio,02558157000162,,3550308,,,,,Pronon - Programa Nacional de Apoio à Atenção Oncológica,"Lei nº 12.715, de 2012, arts. 1º a 14; Lei nº 12.844, de 2013, art. 28; Lei nº 13.169, de 2015, art. 10.",Dedução na apuração do IRPJ.,,SÃO PAULO,,,,,,,TELEFONICA BRASIL S.A.,,,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,IRPJ,SÃO PAULO,,2236290.03
2015,,61108,611,6110801,61,Telecomunicações por fio,02558157000162,,3550308,,,,,Empresa Cidadã,"Lei nº 11.770, de 2008.",Dedução no cálculo do IRPJ e da CSLL.,,SÃO PAULO,,,,,,,TELEFONICA BRASIL S.A.,,,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,IRPJ,SÃO PAULO,,4668914.56
2015,,61108,611,6110801,61,Telecomunicações por fio,02558157000162,,3550308,,,,,Programa de Alimentação do Trabalhador,"Lei nº 6.321, de 1976, art. 1º; Lei nº 9.532, de 1997, arts. 5º e 6º, inciso I.",Dedução na apuração do IRPJ.,,SÃO PAULO,,,,,,,TELEFONICA BRASIL S.A.,,,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,IRPJ,SÃO PAULO,,8945160.13
2015,,61108,611,6110801,61,Telecomunicações por fio,02558157000162,,3550308,,,,,Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda,"Lei nº 8.313, de 1991, art. 26, § 1º; Lei nº 9.249, de 1995, art. 13, § 2º, inciso I; Decreto nº 5.761, de 2006, arts. 28 e 30; Lei nº 8.313, de 1991, art. 18, caput e §§ 1º e 3º; Medida Provisória nº 2.228-1, de 2001, art. 39.",Dedução na apuração do IRPJ.,,SÃO PAULO,,,,,,,TELEFONICA BRASIL S.A.,,,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,IRPJ,SÃO PAULO,,8945160.13
2016,,61108,611,6110801,61,Telecomunicações por fio,02558157000162,,3550308,,,,,Fundos de Direitos da Criança e do Adolescente,"Lei nº 8.069, de 1990, art. 260; Lei nº 12.594, de 2012, art. 87.",Dedução na apuração do IRPJ.,,SÃO PAULO,,,,,,,TELEFONICA BRASIL S.A.,,,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,IRPJ,SÃO PAULO,,89790.22
2016,,61108,611,6110801,61,Telecomunicações por fio,02558157000162,,3550308,,,,,Fundos do Idoso,"Lei nº 12.213, de 2010; Lei nº 12.594, de 2012, art. 88.",Dedução na apuração do IRPJ.,,SÃO PAULO,,,,,,,TELEFONICA BRASIL S.A.,,,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,IRPJ,SÃO PAULO,,89790.22
